id,title,overview,popularity,poster,genre_ids,vote_avg,keywords
1242898,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",1.0,/pHpq9yNUIo6aDoCXEBzjSolywgz.jpg,"[28, 878, 12]",0.7784,"['survival', 'outcast', 'alien planet', 'team up', 'audacious', 'brisk']"
1242501,Icefall,"A young Indigenous game warden arrests an infamous poacher only to discover that the poacher knows the location of a plane carrying millions of dollars that has crashed in a frozen lake. When a group of criminals and dirty cops are alerted to the poacher’s whereabouts, the warden and the poacher team up to fight back and escape across the treacherous lake before the ice melts.",0.6865843944132379,/5Byv6nznAb2Izd0gHpODOXnuSbo.jpg,"[28, 80, 53]",0.68,[]
83533,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",0.5897562054297965,/dpM7UpTlRe3mgDF4lLkIdTYd0gs.jpg,"[878, 12, 14]",0.7400000000000001,"['witch', 'clone', 'space war', 'tribe', 'sequel', 'alien', 'transhumanism', 'family', 'space adventure', 'family dynamics', 'rival', 'grand', 'ambivalent', 'amused', 'arrogant']"
62029,Bingo Bongo,"The ape-man, found somewhere in the jungles of Congo, transferred to Milan and named Bingo Bongo. The only one who believes in the human qualities of him is Laura, a woman anthropologist , so their affection for each other even grows to love.",0.4681194201860753,/5ve4VuCwi7Xas5s50ynEB7uFjM2.jpg,[35],0.5700000000000001,[]
1252037,The Tank,"A German Tiger tank crew is sent on a dangerous mission to rescue the missing officer Paul von Hardenburg from a top-secret bunker behind enemy lines. As they make their way through the lethal no-man's land, they must confront not only the enemy, but also their own fears and inner demons. Fueled by the Wehrmacht's methamphetamine, their mission increasingly becomes a journey into the heart of darkness.",0.4433684081049537,/65Jr1JAgWlu9em8zHhAfrNJJQBt.jpg,"[10752, 28, 18]",0.7009000000000001,"['world war ii', 'tank', 'anti war', '1940s', 'eastern front', 'meth']"
1084242,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",0.3957212212781769,/bjUWGw0Ao0qVWxagN3VCwBJHVo6.jpg,"[16, 35, 12, 10751, 9648]",0.7596,"['snake', 'bunny', 'fox', 'cop', 'sequel', 'anthropomorphism', 'animals', 'displacement', 'buddy cop', 'buddy comedy', 'complex', 'playful', 'talking animal', '3d animation', 'embarrassed', 'excited']"
1368166,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",0.30912264627116004,/cWsBscZzwu5brg9YjNkGewRUvJX.jpg,"[9648, 53]",0.7234,"['based on novel or book', 'psychological thriller', 'housekeeper', 'attic', 'housemaid', 'adaptation', 'absurd', 'mystery', 'suspense thriller']"
628847,Trap House,"An undercover DEA agent and his partner embark on a game of cat and mouse with an audacious, and surprising group of thieves - their own rebellious teenagers, who have begun robbing from a dangerous cartel, using their parents' tactics and top-secret intel to do it.",0.27359457878250204,/6tpAPeuuqbVnYWWPoOLEDLSBU7a.jpg,"[28, 80, 53]",0.6359,[]
1511417,Bāhubali: The Epic,"When a mysterious child is found by a tribal couple near a roaring waterfall, they raise him as their own. As he grows, Sivudu is drawn to the world beyond the cliffs, where he discovers the ancient kingdom of Mahishmati, ruled by a cruel tyrant, haunted by rebellion, and bound to his past. What begins as a quest for love soon unravels a legacy of betrayal, sacrifice, and a forgotten prince.",0.26805043668981854,/z9YIo2qscyaXYgRqIdRJtND3bw8.jpg,"[28, 18]",0.5700000000000001,"['affectation', 'flashback', 'revenge', 'alternate history', 'historical fiction', 'fratricide', 'ancient india', 'regicide', 'multi generational', 'absurd', 'hindu shiva', 'multiple timelines', 'remastered', 'epic film', ""director's cut""]"
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",0.25858586966506575,/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,"[16, 28, 14]",0.7635000000000001,"['supernatural', 'sequel', 'based on manga', 'demon', 'mourning', 'shounen', 'anime', 'complex', 'brother sister relationship', 'taisho period', 'intense']"
1034716,People We Meet on Vacation,"Poppy's a free spirit. Alex loves a plan. After years of summer vacations, these polar-opposite pals wonder if they could be a perfect romantic match.",0.24698187410649042,/kOrJqRyt1pklNgDwJMjzN1GuNXS.jpg,"[10749, 35, 18]",0.7195,"['friendship', 'based on novel or book', 'romcom', 'grief', 'summer vacation', 'trust', 'second chance', 'feelgood', 'inspirational', 'heartfelt', 'amused', 'enthusiastic', 'frustrated', 'kilig']"
755898,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",0.2426211456548722,/yvirUYrva23IudARHn3mMGVxWqM.jpg,"[878, 53]",0.42240000000000005,"['government', 'attack', 'privacy', 'surveillance', 'cybersecurity', 'district', 'online privacy', 'screenlife', 'war']"
1301122,Nazi Supersoldier,"A group of journalism students ventures into a remote forest and awakens a long-frozen World War II experiment a superhuman Nazi soldier. Hunted through cursed woods where trust crumbles and survival is slim, they soon learn that some sins demand blood.",0.2181016454777127,/3daBOc5ZcICXMzAVNhzJTSgweaP.jpg,"[27, 28, 878]",0.52,"['world war ii', 'woods', 'super soldier', 'iron mask', 'secret laboratory', 'secret experiment', 'axe']"
1131759,Omniscient Reader: The Prophecy,"Kim Dok-ja, an ordinary man in his 20s, is the only reader of an obscure web novel titled ""Three Ways to Survive the Apocalypse"". After having read the last chapter, the novel suddenly becomes reality, and its omnipotent hero Yu Jung-hyeok appears before Kim. As the only person who knows how to survive in this world, Kim and his companions strive to save the world by writing his own, new ending.",0.20842613232726856,/3R3dXO2nm8JyR5NG7SEfii7RzlV.jpg,"[28, 12, 14]",0.68,"['based on novel or book', 'survival', 'apocalypse', 'super power', 'based on web novel', 'action', 'disgusted', 'disrespectful', 'blockbuster', 'post-apocalyptic']"
425274,Now You See Me: Now You Don't,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",0.19793170947253874,/oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg,"[53, 80, 9648]",0.66,"['diamond', 'sequel', 'heist', 'diamond heist', 'illusionist', 'team up', 'excited']"
